,Epoch,train Accuracy,train Loss,val Accuracy,val Loss
0,1,0.399121431,1.321805052,0.443502825,1.287624729
1,2,0.422968309,1.266639845,0.448210923,1.247176068
2,3,0.423595858,1.245782294,0.470809793,1.210622076
3,4,0.48697835,1.100495183,0.677966102,0.872841239
4,5,0.67555695,0.777967482,0.707156309,0.726347591
5,6,0.705993097,0.702658098,0.737288136,0.681724983
6,7,0.726388453,0.639693992,0.724105461,0.535506703
7,8,0.83213053,0.392661035,0.885122411,0.305135831
8,9,0.948540948,0.189911192,0.994350282,0.078443659
9,10,0.994038281,0.034820554,0.993408663,0.016189434
10,11,0.994038281,0.011501242,0.994350282,0.007708121
11,12,0.994038281,0.00627627,0.994350282,0.004752272
12,13,0.994038281,0.004308421,0.994350282,0.003546483
13,14,0.994038281,0.003293981,0.994350282,0.002606635
14,15,0.994038281,0.002485268,0.994350282,0.002096252
15,16,0.994038281,0.00205275,0.994350282,0.001763209
16,17,0.994038281,0.001744711,0.994350282,0.001518165
17,18,0.994038281,0.001498648,0.994350282,0.001262279
18,19,0.994038281,0.001306523,0.994350282,0.001068731
19,20,0.994038281,0.001154651,0.994350282,0.00097457
20,21,0.994038281,0.000996323,0.994350282,0.00085672
21,22,0.994038281,0.000924946,0.994350282,0.000778282
22,23,0.994038281,0.000834802,0.994350282,0.000708306
23,24,0.994038281,0.000755609,0.994350282,0.000668563
24,25,0.994038281,0.000707623,0.994350282,0.000600786
25,26,0.994038281,0.000664478,0.994350282,0.000555907
26,27,0.994038281,0.000613259,0.994350282,0.000512597
27,28,0.994038281,0.000560637,0.994350282,0.000483591
28,29,0.994038281,0.000534265,0.994350282,0.000452688
29,30,0.994038281,0.00050232,0.994350282,0.000431715
30,31,0.994038281,0.000480409,0.994350282,0.000401415
31,32,0.994038281,0.000448752,0.994350282,0.000386507
32,33,0.994038281,0.000437483,0.994350282,0.000375155
33,34,0.994038281,0.000415769,0.994350282,0.000349371
34,35,0.994038281,0.000392895,0.994350282,0.000331859
35,36,0.994038281,0.000369221,0.994350282,0.000314579
36,37,0.994038281,0.000363227,0.994350282,0.000300313
37,38,0.994038281,0.000360257,0.994350282,0.00031452
38,39,0.994038281,0.000329393,0.994350282,0.000287995
39,40,0.994038281,0.000321797,0.994350282,0.000270811
40,41,0.994038281,0.000295768,0.994350282,0.000258828
41,42,0.994038281,0.000298587,0.994350282,0.000247698
42,43,0.994038281,0.000279832,0.994350282,0.000240526
43,44,0.994038281,0.000275025,0.994350282,0.000232248
44,45,0.994038281,0.000253544,0.994350282,0.000223562
45,46,0.994038281,0.000252946,0.994350282,0.000217429
46,47,0.994038281,0.000249049,0.994350282,0.000209137
47,48,0.994038281,0.000238759,0.994350282,0.000203361
